generacja,best_cost,avg_cost,worst_cost
454,1316,1395.228,2024
455,1316,1414.1,2011
456,1316,1395.108,2023
457,1316,1422.636,2047
458,1316,1403.732,2149
459,1316,1407.936,2125
460,1316,1410.564,2084
461,1316,1400.74,2112
462,1316,1401.436,2090
463,1316,1428.9,2090
464,1316,1410.592,2095
465,1316,1409.46,2042
466,1316,1402.816,2035
467,1316,1402.896,2044
468,1316,1386.484,2030
469,1316,1413.524,2081
470,1316,1406.28,2056
471,1316,1391.476,2003
472,1316,1409.956,2013
473,1316,1420.208,2083
474,1316,1394.22,2081
475,1316,1426.652,2129
476,1316,1408.272,2081
477,1316,1404.308,2149
478,1316,1420.26,2035
479,1316,1391.808,2181
480,1316,1411.032,2083
481,1316,1399.84,2071
482,1316,1411.248,2099
483,1316,1404.38,2149
484,1316,1400.408,2060
485,1316,1414.736,2095
486,1316,1418.296,2099
487,1316,1403.784,2094
488,1316,1402.608,2149
489,1316,1395.976,2125
490,1316,1407.444,2039
491,1316,1419.976,2019
492,1316,1423.52,2094
493,1316,1419.32,2090
494,1316,1411.864,2057
495,1316,1417.796,2090
496,1316,1418.828,2033
497,1316,1394.804,2125
498,1316,1408.432,2076
499,1316,1388.552,2099
500,1316,1422.224,2050
501,1316,1405.736,2090
502,1316,1411.12,1981
503,1316,1404.144,2027
504,1316,1410.316,2095
505,1316,1397.68,2149
506,1316,1414.452,2042
507,1316,1409.916,2024
508,1316,1424.084,2084
509,1316,1407.772,2056
510,1316,1409.368,2083
511,1316,1401.148,2057
512,1316,1418.016,2035
513,1316,1427.436,2057
514,1316,1391.1,2048
515,1316,1398.276,2069
516,1316,1400.3,2090
517,1316,1396.056,2005
518,1316,1396.12,2094
519,1316,1406.86,2081
520,1316,1411.144,2129
521,1316,1400.4,2043
522,1316,1420.492,2099
523,1316,1398.8,2084
524,1316,1416.46,2099
525,1316,1415.9,2043
526,1316,1407.436,2069
527,1316,1397.352,2090
528,1316,1396.34,2041
529,1316,1407.048,2043
530,1316,1422.328,2149
531,1316,1384.232,1972
532,1316,1417.536,2099
533,1316,1418.5,2011
534,1316,1411.892,2129
535,1316,1386.332,2129
536,1316,1408.216,2090
